time,temperature,precipitation,wind,latitude,longitude,city
2020-10-12T00:00,7.4,0.0,8.7,52.196835,21.08856,Warszawa
2020-10-12T01:00,4.9,0.0,8.4,52.196835,21.08856,Warszawa
2020-10-12T02:00,5.2,0.0,6.6,52.196835,21.08856,Warszawa
2020-10-12T03:00,4.9,0.0,4.7,52.196835,21.08856,Warszawa
2020-10-12T04:00,4.4,0.0,5.1,52.196835,21.08856,Warszawa
2020-10-12T05:00,5.7,0.0,5.3,52.196835,21.08856,Warszawa
2020-10-12T06:00,6.2,0.0,7.6,52.196835,21.08856,Warszawa
2020-10-12T07:00,7.1,0.0,6.8,52.196835,21.08856,Warszawa
2020-10-12T08:00,7.4,0.3,8.4,52.196835,21.08856,Warszawa
2020-10-12T09:00,7.5,0.7,10.5,52.196835,21.08856,Warszawa
2020-10-12T10:00,7.7,0.6,10.1,52.196835,21.08856,Warszawa
2020-10-12T11:00,7.8,0.6,12.6,52.196835,21.08856,Warszawa
2020-10-12T12:00,8.0,0.8,14.5,52.196835,21.08856,Warszawa
2020-10-12T13:00,8.1,0.7,17.7,52.196835,21.08856,Warszawa
2020-10-12T14:00,7.8,1.0,17.5,52.196835,21.08856,Warszawa
2020-10-12T15:00,7.5,1.3,19.7,52.196835,21.08856,Warszawa
2020-10-12T16:00,6.9,1.4,20.0,52.196835,21.08856,Warszawa
2020-10-12T17:00,6.7,1.8,19.1,52.196835,21.08856,Warszawa
2020-10-12T18:00,6.6,2.7,18.2,52.196835,21.08856,Warszawa
2020-10-12T19:00,6.4,1.7,17.3,52.196835,21.08856,Warszawa
2020-10-12T20:00,6.4,1.2,16.1,52.196835,21.08856,Warszawa
2020-10-12T21:00,6.3,0.8,17.4,52.196835,21.08856,Warszawa
2020-10-12T22:00,6.4,0.1,16.6,52.196835,21.08856,Warszawa
2020-10-12T23:00,6.3,0.0,16.8,52.196835,21.08856,Warszawa
2020-10-12T00:00,8.3,0.0,12.6,50.08787,19.982517,Kraków
2020-10-12T01:00,8.4,0.0,14.9,50.08787,19.982517,Kraków
2020-10-12T02:00,8.3,0.0,15.1,50.08787,19.982517,Kraków
2020-10-12T03:00,8.3,0.2,13.6,50.08787,19.982517,Kraków
2020-10-12T04:00,8.2,1.1,14.6,50.08787,19.982517,Kraków
2020-10-12T05:00,8.2,1.5,13.6,50.08787,19.982517,Kraków
2020-10-12T06:00,8.2,1.8,14.4,50.08787,19.982517,Kraków
2020-10-12T07:00,8.4,0.9,17.1,50.08787,19.982517,Kraków
2020-10-12T08:00,8.8,0.5,20.1,50.08787,19.982517,Kraków
