time,temperature,precipitation,wind,latitude,longitude,city
2020-10-11T00:00,10.9,0.6,13.3,52.196835,21.08856,Warszawa
2020-10-11T01:00,10.6,0.3,11.5,52.196835,21.08856,Warszawa
2020-10-11T02:00,10.3,0.1,12.1,52.196835,21.08856,Warszawa
2020-10-11T03:00,10.2,0.0,12.2,52.196835,21.08856,Warszawa
2020-10-11T04:00,10.0,0.0,13.0,52.196835,21.08856,Warszawa
2020-10-11T05:00,9.7,0.0,13.5,52.196835,21.08856,Warszawa
2020-10-11T06:00,9.6,0.1,12.7,52.196835,21.08856,Warszawa
2020-10-11T07:00,9.6,0.3,11.7,52.196835,21.08856,Warszawa
2020-10-11T08:00,9.9,0.1,13.5,52.196835,21.08856,Warszawa
2020-10-11T09:00,10.3,0.1,11.4,52.196835,21.08856,Warszawa
2020-10-11T10:00,10.7,0.1,10.2,52.196835,21.08856,Warszawa
2020-10-11T11:00,11.0,0.3,9.2,52.196835,21.08856,Warszawa
2020-10-11T12:00,10.7,0.2,9.2,52.196835,21.08856,Warszawa
2020-10-11T13:00,10.7,0.0,8.4,52.196835,21.08856,Warszawa
2020-10-11T14:00,10.8,0.0,8.2,52.196835,21.08856,Warszawa
2020-10-11T15:00,10.4,0.0,6.0,52.196835,21.08856,Warszawa
2020-10-11T16:00,7.2,0.0,7.9,52.196835,21.08856,Warszawa
2020-10-11T17:00,7.2,0.0,6.1,52.196835,21.08856,Warszawa
2020-10-11T18:00,6.5,0.0,6.6,52.196835,21.08856,Warszawa
2020-10-11T19:00,5.9,0.0,7.4,52.196835,21.08856,Warszawa
2020-10-11T20:00,5.9,0.0,6.4,52.196835,21.08856,Warszawa
2020-10-11T21:00,5.9,0.0,6.9,52.196835,21.08856,Warszawa
2020-10-11T22:00,5.9,0.0,6.9,52.196835,21.08856,Warszawa
2020-10-11T23:00,5.5,0.0,6.1,52.196835,21.08856,Warszawa
2020-10-11T00:00,11.0,0.2,11.9,50.08787,19.982517,Kraków
2020-10-11T01:00,10.8,0.6,12.7,50.08787,19.982517,Kraków
2020-10-11T02:00,10.5,0.2,11.2,50.08787,19.982517,Kraków
2020-10-11T03:00,10.4,0.0,10.9,50.08787,19.982517,Kraków
2020-10-11T04:00,10.1,0.1,11.5,50.08787,19.982517,Kraków
2020-10-11T05:00,9.7,0.1,11.1,50.08787,19.982517,Kraków
2020-10-11T06:00,9.5,0.2,11.4,50.08787,19.982517,Kraków
2020-10-11T07:00,9.4,0.2,10.9,50.08787,19.982517,Kraków
2020-10-11T08:00,9.6,0.0,9.4,50.08787,19.982517,Kraków
