time,temperature,precipitation,wind,latitude,longitude,city
2020-10-15T00:00,6.5,0.0,5.2,52.196835,21.08856,Warszawa
2020-10-15T01:00,6.5,0.2,4.4,52.196835,21.08856,Warszawa
2020-10-15T02:00,6.4,0.1,3.3,52.196835,21.08856,Warszawa
2020-10-15T03:00,6.5,0.1,2.0,52.196835,21.08856,Warszawa
2020-10-15T04:00,6.6,0.2,4.6,52.196835,21.08856,Warszawa
2020-10-15T05:00,6.5,0.0,2.2,52.196835,21.08856,Warszawa
2020-10-15T06:00,6.5,0.0,4.6,52.196835,21.08856,Warszawa
2020-10-15T07:00,7.2,0.0,4.9,52.196835,21.08856,Warszawa
2020-10-15T08:00,7.7,0.0,4.7,52.196835,21.08856,Warszawa
2020-10-15T09:00,8.0,0.0,5.1,52.196835,21.08856,Warszawa
2020-10-15T10:00,8.5,0.1,6.2,52.196835,21.08856,Warszawa
2020-10-15T11:00,8.8,0.1,6.5,52.196835,21.08856,Warszawa
2020-10-15T12:00,9.0,0.1,6.8,52.196835,21.08856,Warszawa
2020-10-15T13:00,8.1,0.7,9.4,52.196835,21.08856,Warszawa
2020-10-15T14:00,8.2,0.3,6.9,52.196835,21.08856,Warszawa
2020-10-15T15:00,8.0,0.1,6.6,52.196835,21.08856,Warszawa
2020-10-15T16:00,7.1,0.0,3.9,52.196835,21.08856,Warszawa
2020-10-15T17:00,6.0,0.0,5.6,52.196835,21.08856,Warszawa
2020-10-15T18:00,5.9,0.0,5.6,52.196835,21.08856,Warszawa
2020-10-15T19:00,5.5,0.0,4.5,52.196835,21.08856,Warszawa
2020-10-15T20:00,5.5,0.0,7.2,52.196835,21.08856,Warszawa
2020-10-15T21:00,4.6,0.0,6.1,52.196835,21.08856,Warszawa
2020-10-15T22:00,4.6,0.0,6.5,52.196835,21.08856,Warszawa
2020-10-15T23:00,4.1,0.0,6.1,52.196835,21.08856,Warszawa
2020-10-15T00:00,7.5,0.3,21.8,50.08787,19.982517,Kraków
2020-10-15T01:00,7.5,0.2,20.0,50.08787,19.982517,Kraków
2020-10-15T02:00,7.4,0.1,17.2,50.08787,19.982517,Kraków
